question,keywords,answer
How is the academic session structured at the University of Ibadan?,ui academic session; session; academic session,"The University of Ibadan operates on a two-semester academic session. | Each semester consists of teaching, revision, examinations, and result processing."
What is the academic calendar for the first semester at UI?,first semester; academic calendar; first semester academic calendar,"Online Registration (New Students): Begins Monday, 10th February 2025 | Virtual Orientation: Wednesday, 12th February 2025 | Virtual Lectures: 17th February – 28th March 2025 (6 weeks) | Post-Virtual Lectures Break: 31st March – 11th April 2025 | Physical Resumption (New Students): 14th April 2025 | Forest Resources Management and Wildlife | Matriculation Ceremony: 16th April 2025 | Teaching & Continuous Assessment: 22nd April – 4th July 2025 (11 weeks) | GES Exams: 7th July – 11th July 2025 | Faculty Exams: (Different schedules for faculties from 14th July – 8th August 2025)"
What is the second semester academic calendar for University of Ibadan,second semester; academic calendar; second semester academic calendar,Teaching & Continuous Assessment: 25th August – 7th November 2025 (11 weeks) | First Semester Results Processing: 15th September – 26th September 2025 | Faculty Exams: (Different schedules for faculties from 17th November – 12th December 2025) | Processing of Second Semester Results: 15th December 2025 – 2nd January 2026 | Final Senate Consideration: 26th January – 28th January 2026 | New Session Resumption: 16th February 2026
When do exams take place at the University of Ibadan?,exam time; exam period; examination period; exams date; examination date; exam schedule; examination schedule,First Semester GES Exams: 7th – 11th July 2025 | First Semester Faculty Exams: 14th July – 8th August 2025 | Agronomy | Second Semester GES Exams: 10th – 14th November 2025 | Second Semester Faculty Exams: 17th November – 12th December 2025
When is the matriculation ceremony at UI?,matriculation ceremony; matric day; matriculation daynew students,"The matriculation ceremony for freshers is scheduled for Wednesday, 16th April 2025."
When does the new academic session begin at University of Ibadan,resumption; new session; start date,"The 2025/2026 academic session begins on Monday, 16th February 2026."
Faculty of Agriculture and Forestry at the University of Ibadan,faculties; faculty of agriculture; forestry; agriculture and forestry; agroforestry; sustainable agriculture; agriculture courses,Agricultural Economics | Agricultural Extension Services & Rural Development | Agronomy | Animal Science and Crop Protection | Aquaculture and Fisheries Management | Forest Resources Management and Wildlife | Renewable Natural Resources | Wildlife and Ecotourism Management
Faculty of Arts at the University of Ibadan,arts department; faculties; faculty of arts; theatre arts,Adult Education | Classical Studies | Communication and Language Arts | Communication and Language Arts Education | Early Childhood Education | Education and Geography | Education and History | Education and Islamic Studies | Education and Political Science | Education and Religious Studies | Geography | Guidance and Counselling | History | International Relations | Islamic Studies | Law | Library and Information Science | Music | Philosophy | Political Science | Psychology | Religious Studies | Special Education | Theatre Arts | European Studies | Literature | Translation and Interpretation
Faculty of Education at the University of Ibadan,faculty of education; faculties; education department; adult education; ui teacher education; ui special education,Adult Education | Educational Management | Guidance and Counselling | Human Kinetics and Health Education | Library and Information Science | Science Education | Social Studies Education | Teacher Education (Arts) | Teacher Education (Science) | Vocational and Technical Education
College of Medicine at the University of Ibadan,college; medical school; mbbs programCollege of medicine; nursing science,Anatomy | Anesthesia | Biochemistry | Chemical Pathology | Community Medicine | Dentistry | Forensic Medicine | Human Nutrition | Medicine and Surgery | Microbiology | Obstetrics and Gynaecology | Ophthalmology | Oral Pathology | Orthopedics and Traumatology | Paediatrics | Pharmacology | Physiology | Physiotherapy | Psychiatry | Radiology | Surgery
